Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1961","1961","t","15399","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1961","1961","1000 USD","10652","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1962","1962","t","16282","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1962","1962","1000 USD","13027","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1963","1963","t","19541","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1963","1963","1000 USD","17972","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1964","1964","t","18372","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1964","1964","1000 USD","18766","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1965","1965","t","20550","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1965","1965","1000 USD","19493","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1966","1966","t","23735","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1966","1966","1000 USD","21289","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1967","1967","t","28386","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1967","1967","1000 USD","25116","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1968","1968","t","37796","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1968","1968","1000 USD","23999","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1969","1969","t","42509","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1969","1969","1000 USD","22988","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1970","1970","t","45850","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1970","1970","1000 USD","29251","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1971","1971","t","32138","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1971","1971","1000 USD","35957","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1972","1972","t","37659","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1972","1972","1000 USD","45139","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1973","1973","t","48724","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1973","1973","1000 USD","50951","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1974","1974","t","39388","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1974","1974","1000 USD","49747","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1975","1975","t","57156","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1975","1975","1000 USD","100297","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1976","1976","t","67296","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1976","1976","1000 USD","124302","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1977","1977","t","51008","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1977","1977","1000 USD","105300","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1978","1978","t","83405","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1978","1978","1000 USD","223173","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1979","1979","t","118721","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1979","1979","1000 USD","320104","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1980","1980","t","90454","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1980","1980","1000 USD","260228","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1981","1981","t","80890","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1981","1981","1000 USD","247451","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1982","1982","t","79612","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1982","1982","1000 USD","235742","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1983","1983","t","81885","A","Official figure",""
