Area,Item,Year,Export Quantity (tonnes)
Ireland,Butter of cow milk,1961,15399.0
Ireland,Butter of cow milk,1962,16282.0
Ireland,Butter of cow milk,1963,19541.0
Ireland,Butter of cow milk,1964,18372.0
Ireland,Butter of cow milk,1965,20550.0
Ireland,Butter of cow milk,1966,23735.0
Ireland,Butter of cow milk,1967,28386.0
Ireland,Butter of cow milk,1968,37796.0
Ireland,Butter of cow milk,1969,42509.0
Ireland,Butter of cow milk,1970,45850.0
Ireland,Butter of cow milk,1971,32138.0
Ireland,Butter of cow milk,1972,37659.0
Ireland,Butter of cow milk,1973,48724.0
Ireland,Butter of cow milk,1974,39388.0
Ireland,Butter of cow milk,1975,57156.0
Ireland,Butter of cow milk,1976,67296.0
Ireland,Butter of cow milk,1977,51008.0
Ireland,Butter of cow milk,1978,83405.0
Ireland,Butter of cow milk,1979,118721.0
Ireland,Butter of cow milk,1980,90454.0
Ireland,Butter of cow milk,1981,80890.0
Ireland,Butter of cow milk,1982,79612.0
Ireland,Butter of cow milk,1983,81885.0
Ireland,Butter of cow milk,1984,118235.0
Ireland,Butter of cow milk,1985,104575.0
Ireland,Butter of cow milk,1986,78456.0
Ireland,Butter of cow milk,1987,141577.0
Ireland,Butter of cow milk,1988,171655.0
Ireland,Butter of cow milk,1989,154157.0
Ireland,Butter of cow milk,1990,67863.0
Ireland,Butter of cow milk,1991,135081.0
Ireland,Butter of cow milk,1992,159237.0
Ireland,Butter of cow milk,1993,111348.0
Ireland,Butter of cow milk,1994,111160.0
Ireland,Butter of cow milk,1995,138220.0
Ireland,Butter of cow milk,1996,118710.0
Ireland,Butter of cow milk,1997,138577.0
Ireland,Butter of cow milk,1998,135412.0
Ireland,Butter of cow milk,1999,126409.0
Ireland,Butter of cow milk,2000,118761.0
Ireland,Butter of cow milk,2001,113592.0
Ireland,Butter of cow milk,2002,99241.0
Ireland,Butter of cow milk,2003,124203.0
Ireland,Butter of cow milk,2004,131589.0
Ireland,Butter of cow milk,2005,116814.0
Ireland,Butter of cow milk,2006,133083.0
Ireland,Butter of cow milk,2007,143256.0
Ireland,Butter of cow milk,2008,123785.0
Ireland,Butter of cow milk,2009,120044.0
Ireland,Butter of cow milk,2010,134402.0
Ireland,Butter of cow milk,2011,163781.0
Ireland,Butter of cow milk,2012,142765.0
Ireland,Butter of cow milk,2013,156437.0
Ireland,Butter of cow milk,2014,145281.0
Ireland,Butter of cow milk,2015,179421.71
Ireland,Butter of cow milk,2016,187417.71
Ireland,Butter of cow milk,2017,200899.33
Ireland,Butter of cow milk,2018,220803.1
Ireland,Butter of cow milk,2019,258903.46
Ireland,Butter of cow milk,2020,292885.07
Ireland,Butter of cow milk,2021,277581.07
Ireland,Butter of cow milk,2022,233702.05
Ireland,Cheese from whole cow milk,1961,2370.0
Ireland,Cheese from whole cow milk,1962,4397.0
Ireland,Cheese from whole cow milk,1963,6904.0
Ireland,Cheese from whole cow milk,1964,9776.0
Ireland,Cheese from whole cow milk,1965,10032.0
Ireland,Cheese from whole cow milk,1966,13720.0
Ireland,Cheese from whole cow milk,1967,17639.0
Ireland,Cheese from whole cow milk,1968,21342.0
Ireland,Cheese from whole cow milk,1969,19666.0
Ireland,Cheese from whole cow milk,1970,23957.0
Ireland,Cheese from whole cow milk,1971,28176.0
Ireland,Cheese from whole cow milk,1972,25890.0
Ireland,Cheese from whole cow milk,1973,39122.0
Ireland,Cheese from whole cow milk,1974,46812.0
Ireland,Cheese from whole cow milk,1975,56933.0
Ireland,Cheese from whole cow milk,1976,56254.0
Ireland,Cheese from whole cow milk,1977,38746.0
Ireland,Cheese from whole cow milk,1978,42091.0
Ireland,Cheese from whole cow milk,1979,60577.0
