Area,Item,Year,Export Value (1000 USD)
Ireland,Butter of cow milk,1961,10652.0
Ireland,Butter of cow milk,1962,13027.0
Ireland,Butter of cow milk,1963,17972.0
Ireland,Butter of cow milk,1964,18766.0
Ireland,Butter of cow milk,1965,19493.0
Ireland,Butter of cow milk,1966,21289.0
Ireland,Butter of cow milk,1967,25116.0
Ireland,Butter of cow milk,1968,23999.0
Ireland,Butter of cow milk,1969,22988.0
Ireland,Butter of cow milk,1970,29251.0
Ireland,Butter of cow milk,1971,35957.0
Ireland,Butter of cow milk,1972,45139.0
Ireland,Butter of cow milk,1973,50951.0
Ireland,Butter of cow milk,1974,49747.0
Ireland,Butter of cow milk,1975,100297.0
Ireland,Butter of cow milk,1976,124302.0
Ireland,Butter of cow milk,1977,105300.0
Ireland,Butter of cow milk,1978,223173.0
Ireland,Butter of cow milk,1979,320104.0
Ireland,Butter of cow milk,1980,260228.0
Ireland,Butter of cow milk,1981,247451.0
Ireland,Butter of cow milk,1982,235742.0
Ireland,Butter of cow milk,1983,223105.0
Ireland,Butter of cow milk,1984,270603.0
Ireland,Butter of cow milk,1985,221396.0
Ireland,Butter of cow milk,1986,223849.0
Ireland,Butter of cow milk,1987,479888.0
Ireland,Butter of cow milk,1988,509728.0
Ireland,Butter of cow milk,1989,522666.0
Ireland,Butter of cow milk,1990,252343.0
Ireland,Butter of cow milk,1991,460891.0
Ireland,Butter of cow milk,1992,556483.0
Ireland,Butter of cow milk,1993,406048.0
Ireland,Butter of cow milk,1994,395590.0
Ireland,Butter of cow milk,1995,583281.0
Ireland,Butter of cow milk,1996,437654.0
Ireland,Butter of cow milk,1997,479593.0
Ireland,Butter of cow milk,1998,481440.0
Ireland,Butter of cow milk,1999,385333.0
Ireland,Butter of cow milk,2000,322860.0
Ireland,Butter of cow milk,2001,293852.0
Ireland,Butter of cow milk,2002,285760.0
Ireland,Butter of cow milk,2003,396186.0
Ireland,Butter of cow milk,2004,446126.0
Ireland,Butter of cow milk,2005,403909.0
Ireland,Butter of cow milk,2006,412637.0
Ireland,Butter of cow milk,2007,575097.0
Ireland,Butter of cow milk,2008,523280.0
Ireland,Butter of cow milk,2009,388464.0
Ireland,Butter of cow milk,2010,558211.0
Ireland,Butter of cow milk,2011,807011.0
Ireland,Butter of cow milk,2012,552129.0
Ireland,Butter of cow milk,2013,738907.0
Ireland,Butter of cow milk,2014,666190.0
Ireland,Butter of cow milk,2015,616041.0
Ireland,Butter of cow milk,2016,610323.0
Ireland,Butter of cow milk,2017,1018985.0
Ireland,Butter of cow milk,2018,1298177.0
Ireland,Butter of cow milk,2019,1212422.0
Ireland,Butter of cow milk,2020,1125066.0
Ireland,Butter of cow milk,2021,1259379.0
Ireland,Butter of cow milk,2022,1729277.0
Ireland,Cheese from whole cow milk,1961,1405.0
Ireland,Cheese from whole cow milk,1962,2437.0
Ireland,Cheese from whole cow milk,1963,4023.0
Ireland,Cheese from whole cow milk,1964,6594.0
Ireland,Cheese from whole cow milk,1965,7011.0
Ireland,Cheese from whole cow milk,1966,9587.0
Ireland,Cheese from whole cow milk,1967,13200.0
Ireland,Cheese from whole cow milk,1968,14719.0
Ireland,Cheese from whole cow milk,1969,13467.0
Ireland,Cheese from whole cow milk,1970,16025.0
Ireland,Cheese from whole cow milk,1971,25010.0
Ireland,Cheese from whole cow milk,1972,30854.0
Ireland,Cheese from whole cow milk,1973,43114.0
Ireland,Cheese from whole cow milk,1974,69002.0
Ireland,Cheese from whole cow milk,1975,107232.0
Ireland,Cheese from whole cow milk,1976,89014.0
Ireland,Cheese from whole cow milk,1977,66822.0
Ireland,Cheese from whole cow milk,1978,89890.0
Ireland,Cheese from whole cow milk,1979,164540.0
Ireland,Cheese from whole cow milk,1980,121171.0
Ireland,Cheese from whole cow milk,1981,130319.0
Ireland,Cheese from whole cow milk,1982,116568.0
Ireland,Cheese from whole cow milk,1983,117531.0
Ireland,Cheese from whole cow milk,1984,120367.0
Ireland,Cheese from whole cow milk,1985,136969.0
Ireland,Cheese from whole cow milk,1986,176257.0
Ireland,Cheese from whole cow milk,1987,173487.0
Ireland,Cheese from whole cow milk,1988,251358.0
Ireland,Cheese from whole cow milk,1989,212638.0
Ireland,Cheese from whole cow milk,1990,287185.0
Ireland,Cheese from whole cow milk,1991,255834.0
Ireland,Cheese from whole cow milk,1992,389811.0
Ireland,Cheese from whole cow milk,1993,282916.0
Ireland,Cheese from whole cow milk,1994,336737.0
Ireland,Cheese from whole cow milk,1995,310720.0
Ireland,Cheese from whole cow milk,1996,378368.0
Ireland,Cheese from whole cow milk,1997,307073.0
Ireland,Cheese from whole cow milk,1998,301880.0
Ireland,Cheese from whole cow milk,1999,282304.0
Ireland,Cheese from whole cow milk,2000,229291.0
Ireland,Cheese from whole cow milk,2001,311302.0
Ireland,Cheese from whole cow milk,2002,293258.0
Ireland,Cheese from whole cow milk,2003,301799.0
Ireland,Cheese from whole cow milk,2004,388937.0
Ireland,Cheese from whole cow milk,2005,419501.0
Ireland,Cheese from whole cow milk,2006,475243.0
Ireland,Cheese from whole cow milk,2007,549518.0
Ireland,Cheese from whole cow milk,2008,833916.0
Ireland,Cheese from whole cow milk,2009,624317.0
Ireland,Cheese from whole cow milk,2010,660726.0
Ireland,Cheese from whole cow milk,2011,781748.0
Ireland,Cheese from whole cow milk,2012,822409.0
Ireland,Cheese from whole cow milk,2013,845601.0
Ireland,Cheese from whole cow milk,2014,878779.0
Ireland,Cheese from whole cow milk,2015,675037.0
Ireland,Cheese from whole cow milk,2016,671541.0
Ireland,Cheese from whole cow milk,2017,823062.0
Ireland,Cheese from whole cow milk,2018,864862.0
Ireland,Cheese from whole cow milk,2019,1061333.0
Ireland,Cheese from whole cow milk,2020,1091329.0
Ireland,Cheese from whole cow milk,2021,1218459.0
Ireland,Cheese from whole cow milk,2022,1326090.0
Ireland,"Cream, fresh",1961,1249.0
Ireland,"Cream, fresh",1962,1316.0
